Test Name,Expected Status,Status,Error Message
library/browser.spec.ts › version should work,passed,unexpected,Error: expect(received).toBeTruthy() Received: null
library/browser.spec.ts › should dispatch page.on(close) upon browser.close and reject evaluate,passed,unexpected,"Error: expect(received).toContain(expected) // indexOf Expected substring: ""Target page, context or browser has been closed"" Received string: ""page.evaluate: Execution context was destroyed, most likely because of a navigation"""
library/browsercontext-add-cookies.spec.ts › should set cookies with SameSite attribute and no secure attribute,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 1 + Received + 1 @@ -3,11 +3,11 @@  ""domain"": ""foo.com"",  ""expires"": -1,  ""httpOnly"": false,  ""name"": ""same-site-unset"",  ""path"": ""/"", - ""sameSite"": ""Lax"", + ""sameSite"": ""None"",  ""secure"": false,  ""value"": ""1"",  },  Object {  ""domain"": ""foo.com"","
library/browsercontext-add-cookies.spec.ts › should roundtrip cookie,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 12 + Received + 1 - Array [ - Object { - ""domain"": ""localhost"", - ""expires"": 1824943755, - ""httpOnly"": false, - ""name"": ""username"", - ""path"": ""/"", - ""sameSite"": ""None"", - ""secure"": false, - ""value"": ""John Doe"", - }, - ] + Array []"
library/browsercontext-add-cookies.spec.ts › should send cookie header,passed,unexpected,"Error: Fetch.continueRequest {""requestId"":""interception-job-2.0""} BA45D86FB73100D5E3E062356DD322A6 call rejected because the connection has been closed."
library/browsercontext-add-cookies.spec.ts › should set cookie with reasonable defaults,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 1 + Received + 1 @@ -3,10 +3,10 @@  ""domain"": ""localhost"",  ""expires"": -1,  ""httpOnly"": false,  ""name"": ""defaults"",  ""path"": ""/"", - ""sameSite"": ""Lax"", + ""sameSite"": ""None"",  ""secure"": false,  ""value"": ""123456"",  },  ]"
library/browsercontext-base-url.spec.ts › should construct a new URL when a baseURL in browserType.launchPersistentContext is passed to page.goto,passed,unexpected,"Error: Fetch.continueRequest {""requestId"":""interception-job-2.0""} 35FDA322FF0E6EA462975CC6E8284C3D call rejected because the connection has been closed."
library/browsercontext-basic.spec.ts › should disable javascript,passed,unexpected,TypeError: Cannot read properties of null (reading 'message')
library/browsercontext-basic.spec.ts › should be able to navigate after disabling javascript,passed,unexpected,"Error: Fetch.continueRequest {""requestId"":""interception-job-2.0""} F2BD596EFA8711545039998FC950CA24 call rejected because the connection has been closed."
library/browsercontext-basic.spec.ts › should work with offline option,passed,unexpected,"Error: Fetch.continueRequest {""requestId"":""interception-job-3.0""} 8EA32F52C4E46FD3422241FB0F858711 call rejected because the connection has been closed."
library/browsercontext-basic.spec.ts › should emulate media in popup,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: false Received: true
library/browsercontext-basic.spec.ts › should emulate media in cross-process iframe,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/browsercontext-clearcookies.spec.ts › should remove cookies by name,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""cookie2=2"" Received: ""cookie1=1; cookie2=2"""
